"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"CP"
"23";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"AGRONOMIA TROPICAL";"MESTRADO/DOUTORADO";0,571296296296296
"24";"12001015006P2";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"FÍSICA";"MESTRADO/DOUTORADO";0,465277777777778
"25";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA";"MESTRADO/DOUTORADO";0,529464285714286
"26";"12001015008P5";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"GEOCIÊNCIAS";"MESTRADO";0,438095238095238
"27";"12001015009P1";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1999;"PROFISSIONAL";"3";"NORTE";"AM";"UFAM";"ENGENHARIA DE PRODUÇÃO";"MESTRADO PROF.";0,467592592592593
"28";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORTE";"AM";"UFAM";"INFORMÁTICA";"MESTRADO/DOUTORADO";0,394230769230769
"29";"12001015013P9";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"BIOTECNOLOGIA";"MESTRADO/DOUTORADO";0,427380952380952
"30";"12001015014P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SOCIEDADE E CULTURA NA AMAZÔNIA";"MESTRADO/DOUTORADO";0,489316239316239
"31";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"MATEMÁTICA";"MESTRADO";0,5890625
"32";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FLORESTAIS E AMBIENTAIS";"MESTRADO";0,485087719298246
