"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"16";"11001011005P3";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AC";"UFAC";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";13;0;0;0;0;0;0;0
"17";"11001011006P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA";"MESTRADO";15;0;0;0;0;0;0;0
"18";"11001011007P6";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"AC";"UFAC";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO PROF.";15;1;0;0;1;0;0;0,0666666666666667
"19";"11001011008P2";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";"NORTE";"AC";"UFAC";"SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL";"MESTRADO/DOUTORADO";22;1;0;2;1;0;2;0,136363636363636
"20";"11001011009P9";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"EDUCAÇÃO";"MESTRADO";11;0;2;0;0;2;0;0,181818181818182
"21";"11001011070P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL";"MESTRADO";21;0;0;0;0;0;0;0
"22";"11001011071P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA FLORESTAL";"MESTRADO";14;0;0;0;0;0;0;0
"23";"12001015001P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"EDUCAÇÃO";"MESTRADO/DOUTORADO";17;0;1;0;0;1;0;0,0588235294117647
"24";"12001015002P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"QUÍMICA";"MESTRADO/DOUTORADO";28;10;1;0;10;1;0;0,392857142857143
"25";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"AGRONOMIA TROPICAL";"MESTRADO/DOUTORADO";15;1;0;0;1;0;0;0,0666666666666667
"26";"12001015006P2";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"FÍSICA";"MESTRADO/DOUTORADO";12;0;0;0;0;0;0;0
"27";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
"28";"12001015008P5";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"GEOCIÊNCIAS";"MESTRADO";10;0;0;0;0;0;0;0
"29";"12001015009P1";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1999;"PROFISSIONAL";"3";"NORTE";"AM";"UFAM";"ENGENHARIA DE PRODUÇÃO";"MESTRADO PROF.";17;0;1;0;0;1;0;0,0588235294117647
"30";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORTE";"AM";"UFAM";"INFORMÁTICA";"MESTRADO/DOUTORADO";26;0;1;21;0;1;21;0,846153846153846
