"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"IMI";"IPT"
"82";"20001010009P4";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORDESTE";"MA";"UFMA";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";0,456810176101718;0,516129032258065
"83";"20001010012P5";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"BIODIVERSIDADE E CONSERVAÇÃO";"MESTRADO";0,573025427250532;0,444444444444444
"84";"20001010014P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"SAUDE DO ADULTO E DA CRIANCA";"MESTRADO";0,517436869321342;2,08695652173913
"85";"20001010017P7";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"MA";"UFMA";"ODONTOLOGIA";"MESTRADO/DOUTORADO";0,315010774841337;1,6
"86";"20001010023P7";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";"NORDESTE";"MA";"UFMA";"ENERGIA E AMBIENTE";"MESTRADO PROF.";0,601943779904306;0,636363636363636
"87";"20001010026P6";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"CIÊNCIA ANIMAL";"MESTRADO";0,518775297904374;0,0833333333333333
"88";"20001010028P9";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"DESIGN";"MESTRADO";0,73340785676312;0,181818181818182
"89";"20001010031P0";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"CIÊNCIA DOS MATERIAS";"MESTRADO";0,466917553935809;0,0714285714285714
"90";"20001010043P8";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"EDUCAÇÃO FÍSICA";"MESTRADO";0,59953399122807;0,0625
"91";"20002017004P9";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"ESTADUAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"NORDESTE";"MA";"UEMA";"ENGENHARIA DE COMPUTAÇÃO E SISTEMAS";"MESTRADO PROF.";0,564893684746626;0,357142857142857
