"";"NM_PROGRAMA_IES";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"552";"MEIOS E PROCESSOS AUDIOVISUAIS";0,606915362048029;0,0666666666666667;0,606915362048029;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"553";"MEMÓRIA SOCIAL";0,585013295093916;0,2;0,585013295093916;0,2;NA;NA;NA;NA;NA;NA;NA
"554";"MEMÓRIA SOCIAL E BENS CULTURAIS";0,619079984239559;0,266666666666667;0,619079984239559;0,266666666666667;NA;NA;NA;NA;NA;NA;NA
"555";"MEMÓRIA:LINGUAGEM E SOCIEDADE";0,488358975367318;0,0454545454545455;0,488358975367318;0,0454545454545455;NA;NA;NA;NA;NA;NA;NA
"556";"MESTRADO PROFISSIONAL EM ACONSELHAMENTO GENÉTICO E GENÔMICA HUMANA";0,564874510410225;0,0909090909090909;0,564874510410225;0,0909090909090909;NA;NA;NA;NA;NA;NA;NA
"557";"METEOROLOGIA";0,474098679773379;0,2;0,474098679773379;0,2;0,0108863853335796;0,0355555555555555;0,104337842289265;0,188561808316413;22,00762135409;94,2809041582063;1
"558";"MÉTODOS E GESTÃO EM AVALIAÇÃO";0,835635123614663;0,357142857142857;0,835635123614663;0,357142857142857;NA;NA;NA;NA;NA;NA;NA
"559";"MÉTODOS NUMÉRICOS EM ENGENHARIA";0,442278221595656;0,0416666666666667;0,442278221595656;0,0416666666666667;NA;NA;NA;NA;NA;NA;NA
"560";"METROLOGIA";0,689551282051282;0,7;0,689551282051282;0,7;NA;NA;NA;NA;NA;NA;NA
"561";"MICROBIOLOGIA";0,590147134709224;0,797916666666667;0,590147134709224;0,797916666666667;0,0333164598749204;1,08167534722222;0,182527970116693;1,04003622399521;30,9292309292712;130,343965409322;-1
"562";"MICROBIOLOGIA AGRÍCOLA";0,514076542110816;0,568376068376068;0,475473935786436;0,538461538461538;0,00457102275577919;0,00761560376944992;0,0676093392644773;0,0872674267378724;13,1516094834576;15,35381793734;-0,673856090547659
"563";"MICROBIOLOGIA AGRÍCOLA E DO AMBIENTE";0,516400848463542;0,117647058823529;0,516400848463542;0,117647058823529;NA;NA;NA;NA;NA;NA;NA
"564";"MICROBIOLOGIA APLICADA";0,596200980392157;0,352941176470588;0,596200980392157;0,352941176470588;NA;NA;NA;NA;NA;NA;NA
"565";"MICROELETRÔNICA";0,436371646088465;0,0526315789473684;0,436371646088465;0,0526315789473684;NA;NA;NA;NA;NA;NA;NA
"566";"MODELAGEM COMPUTACIONAL";0,521398080339567;0,61429192350245;0,5309593901418;0,436186186186186;0,00307217002362488;0,368458595997943;0,055427159620757;0,607007904394945;10,6304878576959;98,8142414332954;-0,851416790616999
"567";"MODELAGEM COMPUTACIONAL DE CONHECIMENTO";0,553512235749078;0,952380952380952;0,553512235749078;0,952380952380952;NA;NA;NA;NA;NA;NA;NA
"568";"MODELAGEM COMPUTACIONAL DE SISTEMAS";0,623322510822511;0,727272727272727;0,623322510822511;0,727272727272727;NA;NA;NA;NA;NA;NA;NA
"569";"MODELAGEM COMPUTACIONAL E SISTEMAS";0,666392895299145;0,153846153846154;0,666392895299145;0,153846153846154;NA;NA;NA;NA;NA;NA;NA
"570";"MODELAGEM COMPUTACIONAL EM CIÊNCIA E TECNOLOGIA";0,595035485869959;1,13333333333333;0,595035485869959;1,13333333333333;NA;NA;NA;NA;NA;NA;NA
"571";"MODELAGEM E OTIMIZAÇÃO";0,63582497771836;0,166666666666667;0,63582497771836;0,166666666666667;NA;NA;NA;NA;NA;NA;NA
"572";"MODELAGEM EM CIÊNCIAS DA TERRA E DO AMBIENTE";0,559865732827689;0,3;0,559865732827689;0,3;NA;NA;NA;NA;NA;NA;NA
"573";"MODELAGEM MATEMÁTICA";0,572999270377319;1,58012820512821;0,572999270377319;1,58012820512821;0,00723351071420704;4,51925131492439;0,0850500482904451;2,12585307933648;14,8429592649289;134,536746603039;-1
"574";"MODELAGEM MATEMÁTICA E COMPUTACIONAL";0,57835530569842;0,688405797101449;0,57835530569842;0,688405797101449;0,000144981933627869;0,25215290905272;0,0120408443901526;0,502148293886099;2,08191128732054;72,9436469013491;-1
"575";"MONTAGEM INDUSTRIAL";0,52865675990676;0,933333333333333;0,52865675990676;0,933333333333333;NA;NA;NA;NA;NA;NA;NA
"576";"MUSEOLOGIA E PATRIMÖNIO";0,621289682539683;0,0666666666666667;0,621289682539683;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"577";"MÚSICA";0,529658040679825;0,19814821741026;0,52801132663163;0,118589743589744;0,00671410393596648;0,028144064978091;0,081939635927715;0,167761929465809;15,4702901937529;84,6648693883846;-0,215062704904094
"578";"NANOCIÊNCIAS";0,592290833235106;0,111111111111111;0,592290833235106;0,111111111111111;NA;NA;NA;NA;NA;NA;NA
"579";"NANOCIÊNCIAS E MATERIAIS AVANÇADOS";0,464207147347015;0,225806451612903;0,464207147347015;0,225806451612903;NA;NA;NA;NA;NA;NA;NA
"580";"NEUROCIÊNCIAS";0,524102259335068;0,104166666666667;0,524102259335068;0,104166666666667;0,00206328864544422;0,000868055555555556;0,0454234371821885;0,0294627825494395;8,66690352371643;28,2842712474619;-1
"581";"NEUROCIÊNCIAS E BIOLOGIA CELULAR";0,432169499414191;0,392857142857143;0,432169499414191;0,392857142857143;NA;NA;NA;NA;NA;NA;NA
"582";"NEUROCIÊNCIAS E COMPORTAMENTO";0,508244320379594;0,519021739130435;0,508244320379594;0,519021739130435;0,00113127017653424;0,310506261814745;0,0336343600583428;0,557230887348094;6,61775423938278;107,361762588533;-1
"583";"NEUROPSIQUIATRIA E CIÊNCIAS DO COMPORTAMENTO";0,47395482147434;0,0909090909090909;0,47395482147434;0,0909090909090909;NA;NA;NA;NA;NA;NA;NA
"584";"NUTRIÇÃO";0,506910789266603;0,283157365510307;0,517100972540046;0,0769230769230769;0,000749949488005089;0,134048609736659;0,0273852056410955;0,366126494174703;5,40237182181826;129,301419906514;-0,978135507622699
"585";"NUTRIÇÃO E ALIMENTOS";0,53357204887933;0,299145299145299;0,53357204887933;0,299145299145299;0,00185614022506771;0,0422236832493243;0,0430829458726734;0,20548402188327;8,07443829997491;68,6903730295503;-1
"586";"NUTRIÇÃO E SAÚDE";0,472282636580451;0,849358974358974;0,472282636580451;0,849358974358974;0,0108798199376289;1,17359056541749;0,104306375345081;1,08332385066401;22,0855833490531;127,546053361196;1
"587";"NUTRIÇÃO HUMANA";0,419666199813259;0,285714285714286;0,419666199813259;0,285714285714286;NA;NA;NA;NA;NA;NA;NA
"588";"OCEANOGRAFIA";0,547099299731666;0,0588235294117647;0,547099299731666;0,0588235294117647;NA;NA;NA;NA;NA;NA;NA
"589";"ODONTOLOGIA";0,396456559124301;0,413126363755866;0,371794635166728;0,21875;0,0107056201288088;0,230249744548692;0,10346796667959;0,479843458378555;26,0981851096453;116,149319064545;0,071938624140508
"590";"ODONTOLOGIA (DENTÍSTICA)";0,269428421928422;0,48;0,269428421928422;0,48;NA;NA;NA;NA;NA;NA;NA
"591";"ODONTOLOGIA (ENDODONTIA)";0,329999685771745;0,307692307692308;0,329999685771745;0,307692307692308;NA;NA;NA;NA;NA;NA;NA
"592";"ODONTOLOGIA CLÍNICA";0,488716370729083;1,66666666666667;0,488716370729083;1,66666666666667;NA;NA;NA;NA;NA;NA;NA
"593";"ODONTOLOGIA EM SAÚDE PÚBLICA";0,386497443528694;0,0952380952380952;0,386497443528694;0,0952380952380952;NA;NA;NA;NA;NA;NA;NA
"594";"OFTALMOLOGIA E CIÊNCIAS VISUAIS";0,348955474317074;0,0384615384615385;0,348955474317074;0,0384615384615385;NA;NA;NA;NA;NA;NA;NA
"595";"ONCOLOGIA E CIÊNCIAS MÉDICAS";0,460027589153992;0,136363636363636;0,460027589153992;0,136363636363636;NA;NA;NA;NA;NA;NA;NA
"596";"ORGANIZAÇÕES E MERCADOS";0,529836780249857;0,1;0,529836780249857;0,1;NA;NA;NA;NA;NA;NA;NA
"597";"OTORRINOLARINGOLOGIA";0,358216783216783;0,181818181818182;0,358216783216783;0,181818181818182;NA;NA;NA;NA;NA;NA;NA
"598";"PARASITOLOGIA";0,42720885113494;1,39046653144016;0,42720885113494;1,39046653144016;0,00480384437815785;0,0128389748569219;0,0693097711593239;0,113309200230704;16,223861227405;8,14900593927605;1
"599";"PATOLOGIA";0,521124401502041;0,28468286099865;0,531506970009476;0,23859649122807;0,00517367614762556;0,0147576222815942;0,0719282708510747;0,121480954398598;13,8025144560023;42,6723807581706;0,531364430097215
"600";"PATOLOGIA AMBIENTAL E EXPERIMENTAL";0,542374668770945;0,1;0,542374668770945;0,1;NA;NA;NA;NA;NA;NA;NA
"601";"PATOLOGIA EXPERIMENTAL";0,45472322794366;0,294117647058824;0,45472322794366;0,294117647058824;NA;NA;NA;NA;NA;NA;NA
"602";"PATOLOGIA EXPERIMENTAL E COMPARADA";0,344535421686157;0,117647058823529;0,344535421686157;0,117647058823529;NA;NA;NA;NA;NA;NA;NA
"603";"PATOLOGIA HUMANA";0,491320852477688;0,227272727272727;0,491320852477688;0,227272727272727;NA;NA;NA;NA;NA;NA;NA
"604";"PATOLOGIA MOLECULAR";0,422273596832536;0,428571428571429;0,422273596832536;0,428571428571429;NA;NA;NA;NA;NA;NA;NA
"605";"PATRIMÔNIO CULTURAL";0,72871925569294;1,86666666666667;0,72871925569294;1,86666666666667;NA;NA;NA;NA;NA;NA;NA
"606";"PLANEJAMENTO DE SISTEMAS ENERGÉTICOS";0,628343921703297;0,153846153846154;0,628343921703297;0,153846153846154;NA;NA;NA;NA;NA;NA;NA
"607";"PLANEJAMENTO E GOVERNANÇA PÚBLICA";0,63661858974359;0,142857142857143;0,63661858974359;0,142857142857143;NA;NA;NA;NA;NA;NA;NA
"608";"PLANEJAMENTO ENERGÉTICO";0,60379318019943;0,333333333333333;0,60379318019943;0,333333333333333;NA;NA;NA;NA;NA;NA;NA
"609";"PLANEJAMENTO TERRITORIAL";0,570284484685893;0,0714285714285714;0,570284484685893;0,0714285714285714;NA;NA;NA;NA;NA;NA;NA
"610";"PLANEJAMENTO TERRITORIAL E DESENVOLVIMENTO SOCIAL";0,631895678846898;0,1;0,631895678846898;0,1;NA;NA;NA;NA;NA;NA;NA
