"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"30";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS PESQUEIRAS NOS TRÓPICOS";"MESTRADO/DOUTORADO";0,511111111111111;0,421052631578947;0,681372549019608;0,506349206349206;0,529971374514718
"31";"12001015026P3";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"GEOGRAFIA";"MESTRADO";0,333333333333333;0,38961038961039;0,531746031746032;0,441228070175439;0,423979456216298
"32";"12001015027P0";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SERVIÇO SOCIAL";"MESTRADO";0,538461538461538;0,71875;0,446924603174603;0,638690476190476;0,585706654456654
"33";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ANTROPOLOGIA SOCIAL";"MESTRADO/DOUTORADO";0,479166666666667;0,5;0,674285714285714;0,508333333333333;0,540446428571429
"34";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA COMUNICAÇÃO";"MESTRADO";0,729166666666667;0,756756756756757;0,532568027210884;0,561904761904762;0,645099053134767
"35";"12001015033P0";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";0,729166666666667;0,578947368421053;0,55;0,465196078431373;0,580827528379773
"36";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"IMUNOLOGIA BÁSICA E APLICADA";"MESTRADO/DOUTORADO";0,62962962962963;0,409090909090909;0,515217391304348;0,510353535353535;0,516072866344605
"37";"12001015035P2";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E ENGENHARIA DE MATERIAIS";"MESTRADO";0,607843137254902;0,590361445783133;0,534722222222222;0,413157894736842;0,536521174999275
"38";"12001015036P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"PSICOLOGIA";"MESTRADO";0,388888888888889;0,491525423728814;0,573717948717949;0,396666666666667;0,462699732000579
"39";"12001015037P5";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"LETRAS";"MESTRADO";0,416666666666667;0,381818181818182;1;0,467283950617284;0,566442199775533
