"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"1748";"32010010013P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"MG";"UFVJM";"TECNOLOGIA, AMBIENTE E SOCIEDADE";"MESTRADO PROF.";40;67;0,597014925373134;0,597014925373134
"1749";"32010010040P1";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UFVJM";"BIOLOGIA ANIMAL";"MESTRADO";23;26;0,884615384615385;0,884615384615385
"1750";"32010010041P8";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UFVJM";"REABILITAÇÃO E DESEMPENHO FUNCIONAL";"MESTRADO";29;52;0,557692307692308;0,557692307692308
"1751";"32010010042P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"MG";"UFVJM";"ADMINISTRAÇÃO PÚBLICA";"MESTRADO PROF.";16;21;0,761904761904762;0,761904761904762
"1752";"32010010043P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;42;0,785714285714286;0,785714285714286
"1753";"32010010044P7";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"SUDESTE";"MG";"UFVJM";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";"MESTRADO";36;38;0,947368421052632;0,947368421052632
"1754";"32010010045P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;23;0,869565217391304;0,869565217391304
"1755";"32011016003P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIFAL";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";8;33;0,242424242424242;0,242424242424242
"1756";"32011016004P8";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIFAL";"QUÍMICA";"MESTRADO/DOUTORADO";5;31;0,161290322580645;0,161290322580645
"1757";"32011016005P4";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"CIÊNCIAS AMBIENTAIS";"MESTRADO";13;26;0,5;0,5
