"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"189";"15010015003P7";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"NORTE";"PA";"UFOPA";"SOCIEDADE, NATUREZA E DESENVOLVIMENTO";"DOUTORADO";19;17;14;19;1;0,894736842105263;0,736842105263158;0,87719298245614
"190";"15010015004P3";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"BIOCIÊNCIAS";"MESTRADO";16;17;10;19;0,842105263157895;0,894736842105263;0,526315789473684;0,754385964912281
"191";"15010015005P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"EDUCAÇÃO";"MESTRADO";4;9;10;15;0,266666666666667;0,6;0,666666666666667;0,511111111111111
"192";"15010015070P6";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"CIÊNCIAS DA SOCIEDADE";"MESTRADO";16;14;13;17;0,941176470588235;0,823529411764706;0,764705882352941;0,843137254901961
"193";"15010015071P2";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"SOCIEDADE, AMBIENTE E QUALIDADE DE VIDA";"MESTRADO";14;16;10;15;0,933333333333333;1,06666666666667;0,666666666666667;0,888888888888889
"194";"15010015072P9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;10;2;14;0,857142857142857;0,714285714285714;0,142857142857143;0,571428571428571
"195";"15012018001P7";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";"NORTE";"PA";"IEC";"VIROLOGIA";"MESTRADO/DOUTORADO";8;9;8;19;0,421052631578947;0,473684210526316;0,421052631578947;0,43859649122807
"196";"15013014001P3";"DIREITO";"DIRE";"PARTICULAR";"PRIVADA";2012;"ACADÊMICO";"3";"NORTE";"PA";"CESUPA";"DIREITO, POLÍTICAS PÚBLICAS E DESENVOLVIMENTO REGIONAL";"MESTRADO";4;2;2;11;0,363636363636364;0,181818181818182;0,181818181818182;0,242424242424242
"197";"15013014002P0";"ENSINO";"ENSI";"PARTICULAR";"PRIVADA";2015;"PROFISSIONAL";"3";"NORTE";"PA";"CESUPA";"ENSINO EM SAÚDE";"MESTRADO PROF.";8;9;5;11;0,727272727272727;0,818181818181818;0,454545454545455;0,666666666666667
"198";"15013014003P6";"ODONTOLOGIA";"ODON";"PARTICULAR";"PRIVADA";2016;"PROFISSIONAL";"3";"NORTE";"PA";"CESUPA";"CLÍNICA ODONTOLÓGICA";"MESTRADO PROF.";7;6;4;12;0,583333333333333;0,5;0,333333333333333;0,472222222222222
