"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QIP";"QPP";"DIPP";"DFPP";"QMP";"DFCP";"CC"
"1116";"31001017113P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS CONTÁBEIS";"MESTRADO/DOUTORADO";10;13;0,769230769230769;NA;NA;NA;NA
"1117";"31001017115P0";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA AMBIENTAL";"MESTRADO PROF.";18;99;0,181818181818182;1,62295081967213;1,45901639344262;1,21256830601093;0,697193243914555
"1118";"31001017118P9";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ASTRONOMIA";"MESTRADO/DOUTORADO";3;28;0,107142857142857;1;1;1;0,553571428571429
"1119";"31001017119P5";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"HISTÓRIA COMPARADA";"MESTRADO/DOUTORADO";6;30;0,2;1,76923076923077;2,30769230769231;0,858974358974359;0,529487179487179
"1120";"31001017121P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"HISTÓRIA DAS CIÊNCIAS E DAS TÉCNICAS E EPISTEMOLOGIA";"MESTRADO/DOUTORADO";2;4;0,5;2,25;2,5;0,875;0,6875
"1121";"31001017123P2";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"LÓGICA E METAFÍSICA";"MESTRADO/DOUTORADO";5;15;0,333333333333333;1,5;3;0,7;0,516666666666667
"1122";"31001017125P5";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ARQUEOLOGIA";"MESTRADO/DOUTORADO";2;29;0,0689655172413793;1,18181818181818;1,31818181818182;0,931818181818182;0,500391849529781
"1123";"31001017126P1";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"ENSINO DE FÍSICA";"MESTRADO PROF.";1;1;1;NA;NA;NA;NA
"1124";"31001017127P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"POLÍTICAS PÚBLICAS, ESTRATÉGIAS E DESENVOLVIMENTO";"MESTRADO/DOUTORADO";6;43;0,13953488372093;1,13636363636364;1,09090909090909;1,0719696969697;0,605752290345314
"1125";"31001017128P4";"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS CIRÚRGICAS";"MESTRADO/DOUTORADO";5;22;0,227272727272727;1,57142857142857;2,28571428571429;0,75;0,488636363636364
