"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QIP";"QPP";"DIPP";"DFPP";"QMP";"DFCP";"CC"
"1028";"30001013055P4";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"ES";"UFES";"ENSINO NA EDUCAÇÃO BÁSICA";"MESTRADO";4;16;0,25;2,13333333333333;1,53333333333333;1,48666666666667;0,868333333333333
"1029";"30001013056P0";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"ES";"UFES";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";4;23;0,173913043478261;1,41860465116279;1,58139534883721;0,932170542635659;0,55304179305696
"1030";"30001013057P7";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"ES";"UFES";"COMUNICAÇÃO E TERRITORIALIDADES";"MESTRADO";2;16;0,125;1,66666666666667;1,4;1,22222222222222;0,673611111111111
"1031";"30001013103P9";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"ES";"UFES";"NUTRIÇÃO E SAÚDE";"MESTRADO";3;19;0,157894736842105;1,19718309859155;1,74647887323944;0,766431924882629;0,462163330862367
"1032";"30001013104P5";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"SUDESTE";"ES";"UFES";"AGROQUÍMICA";"MESTRADO";3;12;0,25;1,5;1,33333333333333;1,13888888888889;0,694444444444444
"1033";"30001013105P1";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"5";"SUDESTE";"ES";"UFES";"ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO";"DOUTORADO";2;8;0,25;1,625;2,875;0,583333333333333;0,416666666666667
"1034";"30001013106P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"SUDESTE";"ES";"UFES";"ENSINO, EDUCAÇÃO BÁSICA E FORMAÇÃO DE PROFESSORES";"MESTRADO";6;18;0,333333333333333;1,36842105263158;1,34210526315789;1,12894736842105;0,731140350877193
"1035";"30004012001P0";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"ES";"IFES";"ENGENHARIA METALÚRGICA E DE MATERIAIS";"MESTRADO";7;28;0,25;NA;NA;NA;NA
"1036";"30004012002P7";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"SUDESTE";"ES";"IFES";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA";"MESTRADO PROF.";2;5;0,4;NA;NA;NA;NA
"1037";"30004012070P2";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"SUDESTE";"ES";"IFES";"ENGENHARIA DE CONTROLE E AUTOMAÇÃO";"MESTRADO PROF.";1;1;1;NA;NA;NA;NA
"1038";"30004012071P9";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"ES";"IFES";"TECNOLOGIAS SUSTENTÁVEIS";"MESTRADO PROF.";3;5;0,6;NA;NA;NA;NA
"1039";"30004012072P5";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"ES";"IFES";"ENSINO DE HUMANIDADES";"MESTRADO PROF.";1;1;1;NA;NA;NA;NA
"1040";"30004012073P1";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"ES";"IFES";"AGROECOLOGIA";"MESTRADO PROF.";1;4;0,25;NA;NA;NA;NA
"1041";"30007011001P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"PARTICULAR";"PRIVADA";2001;"PROFISSIONAL";"5";"SUDESTE";"ES";"FUCAPE";"CIÊNCIAS CONTÁBEIS";"MESTRADO PROF.";3;9;0,333333333333333;2,21428571428571;2,5;0,907142857142857;0,620238095238095
"1042";"30007011002P6";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"4";"SUDESTE";"ES";"FUCAPE";"ADMINISTRAÇÃO";"MESTRADO";2;8;0,25;1,625;1,375;1,25;0,75
"1043";"30007011003P2";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"4";"SUDESTE";"ES";"FUCAPE";"ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS";"MESTRADO/DOUTORADO";3;11;0,272727272727273;1,36842105263158;1,42105263157895;1,03508771929825;0,653907496012759
"1044";"30011019001P3";"BIODIVERSIDADE";"BIOD";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"4";"SUDESTE";"ES";"UVV";"ECOLOGIA DE ECOSSISTEMAS";"MESTRADO/DOUTORADO";6;37;0,162162162162162;2,06666666666667;2,46666666666667;1,01;0,586081081081081
"1045";"30011019002P0";"MEDICINA VETERINÁRIA";"MVET";"PARTICULAR";"PRIVADA";2008;"ACADÊMICO";"3";"SUDESTE";"ES";"UVV";"CIÊNCIA ANIMAL";"MESTRADO";4;30;0,133333333333333;1,5;1,5;1,04166666666667;0,5875
"1046";"30011019003P6";"FARMÁCIA";"FARM";"PARTICULAR";"PRIVADA";2010;"ACADÊMICO";"3";"SUDESTE";"ES";"UVV";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";4;18;0,222222222222222;2,57142857142857;2,28571428571429;1,08333333333333;0,652777777777778
"1047";"30011019005P9";"SOCIOLOGIA";"SOCI";"PARTICULAR";"PRIVADA";2012;"ACADÊMICO";"3";"SUDESTE";"ES";"UVV";"SOCIOLOGIA POLÍTICA";"MESTRADO";5;46;0,108695652173913;1,95833333333333;2,04166666666667;0,979166666666667;0,54393115942029
"1048";"30011019006P5";"INTERDISCIPLINAR";"INTE";"PARTICULAR";"PRIVADA";2013;"PROFISSIONAL";"3";"SUDESTE";"ES";"UVV";"SEGURANÇA PÚBLICA";"MESTRADO PROF.";5;37;0,135135135135135;1,5;1,5625;0,979910714285714;0,557522924710425
"1049";"30013011001P6";"SERVIÇO SOCIAL";"SSOC";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"3";"SUDESTE";"ES";"EMESCAM";"POLÍTICAS PÚBLICAS E DESENVOLVIMENTO LOCAL";"MESTRADO";5;7;0,714285714285714;2;1,65217391304348;1,23188405797101;0,973084886128364
"1050";"31001017001P4";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"EDUCAÇÃO";"MESTRADO/DOUTORADO";10;91;0,10989010989011;2,57971014492754;2,76811594202899;1,0542270531401;0,582058581515103
"1051";"31001017002P0";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"FÍSICA";"MESTRADO/DOUTORADO";3;36;0,0833333333333333;2,42857142857143;5,14285714285714;0,573593073593074;0,328463203463203
"1052";"31001017004P3";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA DE SISTEMAS E COMPUTAÇÃO";"MESTRADO/DOUTORADO";3;34;0,0882352941176471;1;1;1;0,544117647058823
"1053";"31001017005P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1981;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ESTATÍSTICA";"MESTRADO/DOUTORADO";2;17;0,117647058823529;2;2;1;0,558823529411765
"1054";"31001017008P9";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA E TECNOLOGIA DE POLÍMEROS";"MESTRADO/DOUTORADO";11;40;0,275;2,16666666666667;3;0,888888888888889;0,581944444444444
"1055";"31001017009P5";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1964;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"QUÍMICA DE PRODUTOS NATURAIS";"MESTRADO/DOUTORADO";3;44;0,0681818181818182;1,23529411764706;1,94117647058824;0,864527629233512;0,466354723707665
"1056";"31001017011P0";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"GEOLOGIA";"MESTRADO/DOUTORADO";10;30;0,333333333333333;1;2;0,5;0,416666666666667
"1057";"31001017012P6";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1963;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (BIOFÍSICA)";"MESTRADO/DOUTORADO";3;157;0,0191082802547771;1,85185185185185;1,96296296296296;0,959876543209877;0,489492411732327
"1058";"31001017013P2";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";1963;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"BIOQUÍMICA";"MESTRADO/DOUTORADO";5;31;0,161290322580645;2,27272727272727;2,36363636363636;1,02272727272727;0,592008797653959
"1059";"31001017014P9";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (BOTÂNICA)";"MESTRADO/DOUTORADO";2;16;0,125;NA;NA;NA;NA
"1060";"31001017015P5";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1974;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (FARMACOLOGIA E QUÍMICA MEDICINAL)";"MESTRADO/DOUTORADO";3;55;0,0545454545454545;1,28571428571429;2,14285714285714;0,75;0,402272727272727
"1061";"31001017016P1";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (GENÉTICA)";"MESTRADO/DOUTORADO";3;25;0,12;NA;NA;NA;NA
"1062";"31001017017P8";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";1965;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS (MICROBIOLOGIA)";"MESTRADO/DOUTORADO";3;82;0,0365853658536585;3,66666666666667;4;0,952380952380952;0,494483159117305
"1063";"31001017019P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (ZOOLOGIA)";"MESTRADO/DOUTORADO";4;37;0,108108108108108;1,33333333333333;1,93333333333333;0,863492063492064;0,485800085800086
"1064";"31001017020P9";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"SOCIOLOGIA E ANTROPOLOGIA";"MESTRADO/DOUTORADO";3;68;0,0441176470588235;1,23809523809524;1,47619047619048;0,896825396825397;0,47047152194211
"1065";"31001017021P5";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ANTROPOLOGIA SOCIAL";"MESTRADO/DOUTORADO";4;127;0,031496062992126;2,5531914893617;3,17021276595745;1,00710908476866;0,519302573880393
"1066";"31001017022P1";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"FILOSOFIA";"MESTRADO/DOUTORADO";4;16;0,25;3,25;3,41666666666667;0,9625;0,60625
"1067";"31001017023P8";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"HISTÓRIA SOCIAL";"MESTRADO/DOUTORADO";4;62;0,0645161290322581;1,1304347826087;1,26086956521739;0,952898550724638;0,508707339878448
"1068";"31001017024P4";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"GEOGRAFIA";"MESTRADO/DOUTORADO";11;111;0,0990990990990991;1,47826086956522;1,89130434782609;0,935144927536232;0,517122013317665
"1069";"31001017025P0";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ECONOMIA DA INDÚSTRIA E DA TECNOLOGIA";"MESTRADO/DOUTORADO";8;48;0,166666666666667;1,16;1,2;1,02666666666667;0,596666666666667
"1070";"31001017027P3";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA BIOMÉDICA";"MESTRADO/DOUTORADO";6;42;0,142857142857143;1,80769230769231;1,65384615384615;1,09615384615385;0,619505494505495
"1071";"31001017028P0";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";4;67;0,0597014925373134;1,05555555555556;1,55555555555556;0,800925925925926;0,43031370923162
"1072";"31001017029P6";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1966;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";9;127;0,0708661417322835;1,73170731707317;2,53658536585366;0,832113821138211;0,451489981435247
"1073";"31001017030P4";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1965;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";5;50;0,1;1;1;1;0,55
"1074";"31001017031P0";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA METALÚRGICA E DE MATERIAIS";"MESTRADO/DOUTORADO";3;36;0,0833333333333333;1;1;1;0,541666666666667
"1075";"31001017032P7";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA OCEÂNICA";"MESTRADO/DOUTORADO";5;55;0,0909090909090909;1,31428571428571;1,42857142857143;0,973333333333333;0,532121212121212
"1076";"31001017033P3";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA NUCLEAR";"MESTRADO/DOUTORADO";3;26;0,115384615384615;NA;NA;NA;NA
"1077";"31001017035P6";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA DE PRODUÇÃO";"MESTRADO/DOUTORADO";13;59;0,220338983050847;1,80487804878049;1,58536585365854;1,14349593495935;0,681917459005099
"1078";"31001017036P2";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1963;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA QUÍMICA";"MESTRADO/DOUTORADO";5;141;0,0354609929078014;1;1,36363636363636;0,886363636363636;0,460912314635719
"1079";"31001017037P9";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"TECNOLOGIA DE PROCESSOS QUÍMICOS E BIOQUÍMICOS";"MESTRADO/DOUTORADO";21;240;0,0875;1,4;1,90909090909091;0,873939393939394;0,480719696969697
"1080";"31001017038P5";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA DE TRANSPORTES";"MESTRADO/DOUTORADO";2;38;0,0526315789473684;3,23076923076923;2,84615384615385;1,08461538461538;0,568623481781376
"1081";"31001017040P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"MEDICINA (ANATOMIA PATOLÓGICA)";"MESTRADO/DOUTORADO";3;30;0,1;1,44444444444444;1,59259259259259;0,962962962962963;0,531481481481481
"1082";"31001017041P6";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"MEDICINA (CARDIOLOGIA)";"MESTRADO/DOUTORADO";3;34;0,0882352941176471;1,73170731707317;2,02439024390244;0,91260162601626;0,500418460066954
"1083";"31001017048P0";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"CLÍNICA MÉDICA";"MESTRADO/DOUTORADO";3;145;0,0206896551724138;1,36363636363636;1,72727272727273;0,861742424242424;0,441216039707419
"1084";"31001017049P7";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"MEDICINA (DOENÇAS INFECCIOSAS E PARASITÁRIAS)";"MESTRADO/DOUTORADO";4;31;0,129032258064516;1,5;3;0,5;0,314516129032258
"1085";"31001017056P3";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"PSIQUIATRIA E SAÚDE MENTAL";"MESTRADO/DOUTORADO";2;15;0,133333333333333;NA;NA;NA;NA
"1086";"31001017059P2";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";1960;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ODONTOLOGIA";"MESTRADO/DOUTORADO";4;87;0,0459770114942529;1,34615384615385;2,94230769230769;0,624085636585637;0,335031324039945
"1087";"31001017060P0";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ENFERMAGEM";"MESTRADO/DOUTORADO";5;53;0,0943396226415094;1,71428571428571;3,35714285714286;0,55952380952381;0,326931716082659
"1088";"31001017062P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";16;41;0,390243902439024;1,75;1,875;0,961805555555556;0,67602472899729
"1089";"31001017064P6";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"COMUNICAÇÃO";"MESTRADO/DOUTORADO";4;66;0,0606060606060606;2,83870967741935;2,83870967741935;1,04301075268817;0,551808406647116
"1090";"31001017065P2";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"PLANEJAMENTO URBANO E REGIONAL";"MESTRADO/DOUTORADO";8;76;0,105263157894737;1,72972972972973;1,89189189189189;0,941441441441441;0,523352299668089
"1091";"31001017066P9";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"SERVIÇO SOCIAL";"MESTRADO/DOUTORADO";2;17;0,117647058823529;NA;NA;NA;NA
"1092";"31001017067P5";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"LINGÜÍSTICA";"MESTRADO/DOUTORADO";2;14;0,142857142857143;2,25714285714286;2,85714285714286;0,90047619047619;0,521666666666667
"1093";"31001017069P8";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"LETRAS (LETRAS CLÁSSICAS)";"MESTRADO/DOUTORADO";1;12;0,0833333333333333;2,16666666666667;2,16666666666667;1,08928571428571;0,586309523809524
"1094";"31001017070P6";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"LETRAS (LETRAS VERNÁCULAS)";"MESTRADO/DOUTORADO";3;26;0,115384615384615;1,88372093023256;2,62790697674419;0,841196013289037;0,478290314336826
"1095";"31001017071P2";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"LETRAS (CIÊNCIA DA LITERATURA)";"MESTRADO/DOUTORADO";3;45;0,0666666666666667;2,6;3,15;0,930833333333333;0,49875
"1096";"31001017072P9";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"MÚSICA";"MESTRADO/DOUTORADO";3;22;0,136363636363636;2,45833333333333;2,08333333333333;1,32390873015873;0,730136183261183
"1097";"31001017084P7";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"NUTRIÇÃO";"MESTRADO/DOUTORADO";5;25;0,2;1,33333333333333;2;0,787037037037037;0,493518518518518
"1098";"31001017086P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"LETRAS NEOLATINAS";"MESTRADO/DOUTORADO";3;20;0,15;1,8;2,13333333333333;0,941666666666667;0,545833333333333
"1099";"31001017087P6";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"QUÍMICA BIOLÓGICA";"MESTRADO/DOUTORADO";3;53;0,0566037735849057;1,25;1,25;1;0,528301886792453
"1100";"31001017088P2";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ARQUITETURA";"MESTRADO/DOUTORADO";3;52;0,0576923076923077;1;1;1;0,528846153846154
"1101";"31001017089P9";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ARTES VISUAIS";"MESTRADO/DOUTORADO";2;12;0,166666666666667;1,83333333333333;1,66666666666667;1,14583333333333;0,65625
"1102";"31001017096P5";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ECOLOGIA";"MESTRADO/DOUTORADO";2;54;0,037037037037037;NA;NA;NA;NA
"1103";"31001017097P1";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"TEORIA PSICANALÍTICA";"MESTRADO/DOUTORADO";6;39;0,153846153846154;2;3,71428571428571;0,608163265306122;0,381004709576138
"1104";"31001017098P8";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"PSICOLOGIA";"MESTRADO/DOUTORADO";8;61;0,131147540983607;1,54838709677419;2,38709677419355;0,82642089093702;0,478784215960313
"1105";"31001017099P4";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";7;118;0,0593220338983051;2,46153846153846;2,61538461538462;1,06858974358974;0,563955888744024
"1106";"31001017100P2";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"BIOTECNOLOGIA VEGETAL";"MESTRADO/DOUTORADO";4;39;0,102564102564103;1,85714285714286;1,92857142857143;0,964285714285714;0,533424908424908
"1107";"31001017101P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"PSICOSSOCIOLOGIA DE COMUNID.E ECOLOGIA SOCIAL";"MESTRADO/DOUTORADO";5;13;0,384615384615385;3,27272727272727;2,45454545454545;1,37424242424242;0,879428904428904
"1108";"31001017102P5";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"PLANEJAMENTO ENERGÉTICO";"MESTRADO/DOUTORADO";42;81;0,518518518518518;2,825;2,725;1,17208333333333;0,845300925925926
"1109";"31001017103P1";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"URBANISMO";"MESTRADO/DOUTORADO";12;55;0,218181818181818;2,7037037037037;4,03703703703704;0,71005291005291;0,464117364117364
"1110";"31001017105P4";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS MORFOLÓGICAS";"MESTRADO/DOUTORADO";4;139;0,0287769784172662;1,1304347826087;1,30434782608696;0,934782608695652;0,481779793556459
"1111";"31001017106P0";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"EDUCAÇÃO EM CIÊNCIAS E SAÚDE";"MESTRADO/DOUTORADO";8;29;0,275862068965517;3,13636363636364;2,40909090909091;1,36060606060606;0,818234064785789
"1112";"31001017108P3";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (FISIOLOGIA)";"MESTRADO/DOUTORADO";3;94;0,0319148936170213;2,41176470588235;2,64705882352941;0,968627450980392;0,500271172298707
"1113";"31001017110P8";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"INFORMÁTICA";"MESTRADO/DOUTORADO";8;83;0,0963855421686747;1,775;1,775;1,00142857142857;0,548907056798623
