"";"SG_ENTIDADE_ENSINO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"77";"UFPE";0,460436425129572;0,582894030470929;0,452685877322505;0,20952380952381;0,0109100112510544;0,718672360367705;0,10445099928222;0,847745457297003;22,6852163689758;145,437320161281;0,195184482966437
"78";"UFPEL";0,49718698356646;0,944366621633318;0,489300042942314;0,409090909090909;0,0170445148850147;1,77636695207633;0,130554643291668;1,33280416868958;26,2586607467403;141,132070761295;0,0791328597829892
"79";"UFPR";0,480339070935845;0,456740625703474;0,474335748792271;0,208333333333333;0,00937139616922919;0,818158217218692;0,0968059717642935;0,90452098771598;20,1536742734016;198,038216180755;0,00393198503704607
"80";"UFRA";0,544618099085011;0,128787878787879;0,544618099085011;0,128787878787879;0,0213618490634466;0,00286960514233241;0,146156932998221;0,0535686955444354;26,8365912267281;41,5945165403851;-1
"81";"UFRB";0,51887036517476;0,305490196078431;0,520200593395253;0,333333333333333;0,00799698300894539;0,0248681276432141;0,0894258520168826;0,157696314615194;17,2347195020018;51,6207448355255;0,663871272526526
"82";"UFRGS";0,428046973540885;0,418345665944376;0,418612157741459;0,0871212121212121;0,00688420207192211;0,537229062533386;0,0829710917845614;0,732959113821082;19,3836417293665;175,204184837554;0,0298753410638908
"83";"UFRJ";0,461870648369271;0,300400599624401;0,468112329946619;0,185185185185185;0,00818454966502376;0,121559848755359;0,0904685009548835;0,348654339934782;19,5874107337847;116,06313048999;0,0730906561186167
"84";"UFRN";0,491372949413653;0,473072527880979;0,483746361193859;0,230769230769231;0,00746687025010642;0,23320519059588;0,0864110539809949;0,482913232988992;17,5856351238113;102,080168373355;0,00687186662362596
"85";"UFRPE";0,48124784536827;0,28713940380607;0,487206548436173;0,154761904761905;0,00877033309470302;0,0942977123579249;0,0936500565654021;0,30707932583931;19,459839138342;106,944334970726;-0,402888526970587
"86";"UFRRJ";0,497619702051876;0,240218842976196;0,477001198198082;0,113095238095238;0,0104848061053355;0,0628179303813245;0,102395342205276;0,250635054175039;20,5770273530289;104,336134114123;0,353215015523861
"87";"UFSC";0,510159762995715;0,456746048036073;0,505075062331696;0,3875;0,0224758521884336;0,149666223424403;0,149919485686263;0,386867190938186;29,3867718625866;84,7007199299582;0,118333887219265
"88";"UFSCAR";0,459069108638061;0,331225365575135;0,437051697239385;0,171428571428571;0,012806471239269;0,188517564675488;0,113165680483391;0,434186094521103;24,6511207907507;131,08479592654;0,208512160288258
"89";"UFSJ";0,58282582417827;0,346960563945858;0,590441447630336;0,279220779220779;0,00678872981164543;0,104859811723356;0,0823937486199373;0,323820647462999;14,1369419819557;93,3306782131962;-0,0479383735940137
"90";"UFSM";0,463493850239824;0,531039957003122;0,437918902581596;0,352380952380952;0,0213163585865115;0,263949473273889;0,146001228030834;0,513760132040127;31,500143519766;96,7460405313921;0,350078760981654
"91";"UFT";0,58100575284576;0,296743881118881;0,593537417094644;0,303846153846154;0,0127187782241235;0,0498777162306211;0,112777560818292;0,223333195541149;19,4107477018788;75,2612639219602;0,290914484027193
"92";"UFTM";0,728177686794415;0,102678571428571;0,728177686794415;0,102678571428571;0,00222098452572322;0,00322863520408163;0,0471273224968619;0,0568210806310618;6,47195366618907;55,3387915711211;1
"93";"UFU";0,437860973278316;0,512548276052889;0,416158786194589;0,228422619047619;0,0182717014888985;0,287690468250688;0,135172857811391;0,536367847890502;30,871181964297;104,647283573178;0,00852055132391271
"94";"UFV";0,462611384026126;0,387837107337107;0,436739641869592;0,272727272727273;0,0143186049607934;0,125677407270757;0,119660373394008;0,354510094737452;25,8662837806971;91,4069561758856;0,0219636433936644
"95";"UFVJM";0,596151884979896;0,325429894179894;0,57053105287373;0,288359788359788;0,0197561201975511;0,0525426263612441;0,140556466224614;0,229221784220532;23,5772912517679;70,4366096415901;-0,212232523179767
"96";"ULBRA";0,621353747395414;2,99090909090909;0,656818181818182;3,6;0,00778438547592381;2,79479338842975;0,0882291645428189;1,67176355637684;14,1995063058133;55,8948301524173;-0,469797894082525
"97";"UMC";0,595316053443795;1,13675213675214;0,624392361111111;0,583333333333333;0,00314657716199422;2,01603933815472;0,0560943594490054;1,41987300071335;9,4226183091334;124,906121115385;0,601057477006166
"98";"UNAERP";0,329999685771745;0,307692307692308;0,329999685771745;0,307692307692308;NA;NA;NA;NA;NA;NA;NA
"99";"UNAMA";0,700151171499677;0,0972222222222222;0,700151171499677;0,0972222222222222;0,0344868825438619;0,000385802469135802;0,185706441848046;0,0196418550329597;26,5237636395403;20,2030508910442;1
"100";"UNB";0,488674909384371;0,320673128463361;0,4672386104353;0,15587044534413;0,00861046292923096;0,119916152742448;0,092792580141038;0,34628911727406;18,9886115204764;107,988193127827;0,0592898107990004
"101";"UNEB";0,519306711627315;0,367614166878873;0,512996657461971;0,0871212121212121;0,00447428029551509;0,223144126884535;0,0668900612611103;0,47238133629996;12,880646400949;128,499219796284;-0,458708633067667
"102";"UNEMAT";0,592771177982495;0,215488215488215;0,57466783404082;0,0909090909090909;0,00339488214311919;0,0610226847600585;0,0582656171607166;0,247027700390176;9,8293606917638;114,636292212316;0,948356324176425
