"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO.x";"SG_AREA_AVALIACAO.x";"CS_STATUS_JURIDICO.x";"DS_DEPENDENCIA_ADMINISTRATIVA.x";"ANO_INICIO_PROGRAMA.x";"NM_MODALIDADE_PROGRAMA.x";"CD_CONCEITO_PROGRAMA.x";"NM_REGIAO.x";"SG_UF_PROGRAMA.x";"SG_ENTIDADE_ENSINO.x";"NM_PROGRAMA_IES.x";"NM_GRAU_PROGRAMA.x";"FCDo";"FCDi";"CC";"CP";"IMI";"NM_AREA_AVALIACAO.y";"SG_AREA_AVALIACAO.y";"CS_STATUS_JURIDICO.y";"DS_DEPENDENCIA_ADMINISTRATIVA.y";"ANO_INICIO_PROGRAMA.y";"NM_MODALIDADE_PROGRAMA.y";"CD_CONCEITO_PROGRAMA.y";"NM_REGIAO.y";"SG_UF_PROGRAMA.y";"SG_ENTIDADE_ENSINO.y";"NM_PROGRAMA_IES.y";"NM_GRAU_PROGRAMA.y";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"1682";"32004010028P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"SUDESTE";"MG";"UFLA";"TECNOLOGIAS E INOVAÇÕES AMBIENTAIS";"MESTRADO PROF.";0,592592592592593;0,75;0,977777777777778;0,452631578947368;0,693250487329435;"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"SUDESTE";"MG";"UFLA";"TECNOLOGIAS E INOVAÇÕES AMBIENTAIS";"MESTRADO PROF.";18;4;0;0;4;0;0;0,222222222222222
"1683";"32004010029P1";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"SUDESTE";"MG";"UFLA";"PLANTAS MEDICINAIS, AROMÁTICAS E CONDIMENTARES";"MESTRADO/DOUTORADO";0,666666666666667;0,733333333333333;0,662835249042146;0,40625;0,617271312260536;"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"SUDESTE";"MG";"UFLA";"PLANTAS MEDICINAIS, AROMÁTICAS E CONDIMENTARES";"MESTRADO/DOUTORADO";10;1;0;0;1;0;0;0,1
"1684";"32004010030P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"MG";"UFLA";"DESENVOLVIMENTO SUSTENTÁVEL E EXTENSÃO";"MESTRADO PROF.";0,487179487179487;0,58974358974359;0,656547619047619;0,407738095238095;0,535302197802198;"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"MG";"UFLA";"DESENVOLVIMENTO SUSTENTÁVEL E EXTENSÃO";"MESTRADO PROF.";13;0;0;0;0;0;0;0
"1685";"32004010031P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"5";"SUDESTE";"MG";"UFLA";"ENGENHARIA DE BIOMATERIAIS";"MESTRADO/DOUTORADO";0,722222222222222;0,5;0,499073771384984;0,418888888888889;0,535046220624024;"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"5";"SUDESTE";"MG";"UFLA";"ENGENHARIA DE BIOMATERIAIS";"MESTRADO/DOUTORADO";12;4;0;5;4;0;5;0,75
"1686";"32004010040P5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;0;0;0;0;0;0;0
"1687";"32004010041P1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;0;0;0;0;0;0;0
"1688";"32005016003P5";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"CIÊNCIAS BIOLÓGICAS (ZOOLOGIA)";"MESTRADO/DOUTORADO";0,411764705882353;0,414634146341463;0,791666666666667;0,48015873015873;0,524556062262303;"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"CIÊNCIAS BIOLÓGICAS (ZOOLOGIA)";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"1689";"32005016004P1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"TEOLOGIA";"TEOL";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"CIÊNCIA DA RELIGIÃO";"MESTRADO/DOUTORADO";20;0;0;0;0;0;0;0
"1690";"32005016005P8";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";0,19047619047619;0,227848101265823;0,503267973856209;0,316049382716049;0,309410412078568;"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";21;7;2;0;7;2;0;0,428571428571429
"1691";"32005016007P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,365853658536585;0,303030303030303;0,504344729344729;0,538148148148148;0,427844209764942;"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"EDUCAÇÃO";"MESTRADO/DOUTORADO";41;0;0;0;0;0;0;0
"1692";"32005016008P7";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"FÍSICA";"MESTRADO/DOUTORADO";0,253968253968254;0,325842696629214;0,483078231292517;0,369047619047619;0,357984200234401;"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"FÍSICA";"MESTRADO/DOUTORADO";21;2;1;0;2;1;0;0,142857142857143
"1693";"32005016009P3";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"QUÍMICA";"MESTRADO/DOUTORADO";0,206896551724138;0,203703703703704;0,488926387446637;0,524285714285714;0,355953089290048;"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"QUÍMICA";"MESTRADO/DOUTORADO";29;9;0;0;9;0;0;0,310344827586207
"1694";"32005016010P1";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"HISTÓRIA";"MESTRADO/DOUTORADO";0,285714285714286;0,214285714285714;0,435795454545455;0,401736111111111;0,334382891414141;"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"HISTÓRIA";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
