"";"sigla";"NM_AREA_AVALIACAO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"33";"LETR";"LETRAS / LINGUÍSTICA";0,453065006116905;0,154377083700613;0,453637430108018;0,0833333333333333;0,00942823098799676;0,0426179610681096;0,0970990782036409;0,206441180649863;21,4315996364076;133,725275605167;0,396897366952718
"34";"MAPE";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";0,426652930984014;0,0757408761031206;0,390336834696782;0,054093567251462;0,00723258911291603;0,00195267195719599;0,0850446301239298;0,0441890479326721;19,9329768877449;58,342404004555;0,370084361579298
"35";"MATE";"MATERIAIS";0,581234293378508;0,633714454737182;0,567426059849072;0,40625;0,0138905289717971;0,329280382209825;0,117858088274828;0,573829575928102;20,2772082820097;90,5501794441605;-0,0383173535471925
"36";"MEDI";"MEDICINA I";0,456049382448418;0,277099057263887;0,45408169955045;0,136363636363636;0,00370999377363219;0,206788594493819;0,0609097182199376;0,454740139523464;13,3559479661891;164,107429311968;-0,0924197992666254
"37";"MEDII";"MEDICINA II";0,49104189170982;0,317179860424644;0,490724374812818;0,142857142857143;0,00422390405276129;0,202825923424441;0,0649915690898542;0,450361991540629;13,2354428791303;141,989466461609;0,0293568314694279
"38";"MEDIII";"MEDICINA III";0,438596370459791;0,341182949780235;0,416367748295318;0,176470588235294;0,00571892417545382;0,213570077864853;0,0756235689150798;0,46213642776225;17,2421784603009;135,45120823298;0,388063865105932
"39";"MVET";"MEDICINA VETERINÁRIA";0,427757607838403;0,338866682461858;0,413613937958696;0,214285714285714;0,00880828582997571;0,105720729431385;0,0938524684277175;0,325147242693807;21,9405725831468;95,9513754293046;-0,248999125290204
"40";"NUTR";"NUTRIÇÃO";0,498662957728485;0,346569695282931;0,510104389119657;0,201923076923077;0,00335048615280058;0,19533733615152;0,0578833840821404;0,441969836246231;11,60771683259;127,526971417803;0,151123497676553
"41";"ODON";"ODONTOLOGIA";0,394168408122888;0,403138063375557;0,372237103174603;0,21875;0,0101509157018055;0,226979663915336;0,10075175284731;0,476423828030605;25,5605854683056;118,17882539828;0,0754209833253817
"42";"PLUR";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";0,628304239731563;0,110502032009385;0,640065823482594;0,0916666666666667;0,00970936413663828;0,00387443600787406;0,098536105751335;0,062244967731328;15,6828650071554;56,3292516883685;0,288840618566875
"43";"PSICO";"PSICOLOGIA";0,396579097696632;0,210854793506698;0,372295440305309;0,125;0,00537317579974315;0,0502825661492083;0,0733019494948337;0,224237744702377;18,4835635363987;106,346998791495;0,362981794343675
"44";"QUIM";"QUÍMICA";0,400785424013179;0,472233608635805;0,373316511194706;0,412878787878788;0,0101856097980209;0,137466974345394;0,10092378212305;0,370765389896891;25,1815001435111;78,5131306024497;-0,228144024553952
"45";"SCOL";"SAÚDE COLETIVA";0,545154966198911;0,126133960007149;0,549606223673877;0,0869565217391304;0,00695152558971995;0,0124489697144789;0,0833758093796993;0,111574951106774;15,2939649364357;88,4575027220664;-0,345486417056443
"46";"SSOC";"SERVIÇO SOCIAL";0,460385875399462;0,116666666666667;0,460385875399462;0,116666666666667;0,0426334498620158;0,000555555555555555;0,206478691060399;0,0235702260395516;44,8490499151921;20,2030508910442;-1
"47";"SOCI";"SOCIOLOGIA";0,502191807191807;0,0726851851851852;0,556216168091168;0,0625;0,00975485142549355;0,000571630658436214;0,0987666513834176;0,0239087987660655;19,6671172187591;32,8936339711474;0,396736564144396
"48";"ZOOT";"ZOOTECNIA / RECURSOS PESQUEIROS";0,434632039700338;0,178542420341956;0,434055091580386;0,0833333333333333;0,00581946925006754;0,0535519267539585;0,076285445860056;0,231412892367643;17,5517308647222;129,612274732485;-0,0598526351728995
